Puteaux,Très bien avec félicitations du jury,0
Paris 11e  Arrondissement,Très bien avec félicitations du jury,5
Voiron,Très bien avec félicitations du jury,0
Noisy-le-Grand,Très bien,29
Marne-la-Vallée,Assez bien,543
Somme-Vesle,Assez bien,6
Paris 14e  Arrondissement,Bien,307
Abbeville,Assez bien,39
Lyon 3e  Arrondissement,Très bien,61
La Souterraine,Sans information,0
Wittelsheim,Très bien,0
Clamart,Très bien,3
Landerneau,Assez bien,39
La Ferté-Bernard,Sans information,0
Saint-Eloy-les-Mines,Sans mention,1
Paris 18e  Arrondissement,Très bien,15
Cergy,Très bien,297
Ottange,Assez bien,4
Blaye,Sans mention,7
Capesterre-Belle-Eau,Très bien,0
Basse-Goulaine,Très bien,1
Biarritz,Assez bien,50
La Plaine-des-Palmistes,Bien,0
Bischwiller,Assez bien,4
Goussainville,Très bien avec félicitations du jury,0
Brignoles,Sans mention,9
Gaillon,Sans information,0
Longwy,Très bien,0
Rueil-Malmaison,Assez bien,57
Basse-Goulaine,Très bien avec félicitations du jury,0
Armentières,Très bien,24
Fleury-les-Aubrais,Très bien,1
La Roche-sur-Foron,Assez bien,17
La Queue-en-Brie,Très bien avec félicitations du jury,0
Le Mayet-de-Montagne,Sans information,0
Longuenesse,Bien,7
Mondeville,Bien,5
Bourg-lès-Valence,Sans information,0
Chamalières,Assez bien,36
Montgeron,Très bien,6
Dieuze,Bien,1
Joinville-le-Pont,Assez bien,18
Treffiagat,Très bien avec félicitations du jury,0
Fontaines,Assez bien,10
Montivilliers,Assez bien,16
Tournan-en-Brie,Très bien,1
Marseille 13e  Arrondissement,Bien,228
Gradignan,Très bien,22
La Motte-Servolex,Sans mention,10
Evry-Courcouronnes,Sans information,0
Boulogne-Billancourt,Très bien avec félicitations du jury,2
Rouen,Sans information,0
Illzach,Très bien,3
Fontaine-lès-Vervins,Bien,2
Singapour,Très bien avec félicitations du jury,0
Epron,Très bien avec félicitations du jury,0
Tarbes,Très bien avec félicitations du jury,0
Saint-Ouen-sur-Seine,Bien,20
Thiers,Bien,7
Châteaudun,Sans information,0
Créteil,Assez bien,2350
Foix,Sans mention,22
Annemasse,Sans mention,35
Aurillac,Bien,76
Le Subdray,Très bien avec félicitations du jury,0
Confolens,Assez bien,1
Ustaritz,Sans mention,12
Saint-Berthevin,Bien,1
Bagneux,Bien,3
Sèvres,Assez bien,98
Le Mesnil-Saint-Denis,Assez bien,19
Fourmies,Sans information,0
Soissons,Bien,41
Saint-Paul-lès-Dax,Sans mention,25
Charolles,Très bien,0
Taiarapu-ouest,Assez bien,15
Pamiers,Assez bien,43
Le Perreux-sur-Marne,Assez bien,45
Sartrouville,Sans mention,30
Rillieux-la-Pape,Sans information,0
